id, ISIN,period,date_start,date_end,PL,perf,perfann,vol,maxDD
17,FR0010428771,2015,31/12/2014,31/12/2015,0.5957,0.415324548560273,0.415324548560273,0.690608764828489,-0.239054858287667
17,FR0010428771,2016,31/12/2015,11/02/2016,-0.18,-0.0886699507389161,-0.553766112196025,0.353195445638407,-0.547201213990259
19,US0378331005,Global,31/12/2010,11/02/2016,48.2532,1.40479607789478,0.187028707457357,0.275917841969286,-0.446999559140064
19,US0378331005,2011,31/12/2010,30/12/2011,10.2204,0.297546646326374,0.297546646326374,0.259472613699909,-0.17984944146379
19,US0378331005,2012,30/12/2011,31/12/2012,13.0932,0.29377172179056,0.29377172179056,0.290516974725586,-0.28606623272218
19,US0378331005,2013,31/12/2012,31/12/2013,0.4983,0.0086416648601777,0.0086416648601777,0.287427083284354,-0.280123623915928
19,US0378331005,2014,31/12/2013,31/12/2014,33.0581,0.568391425152336,0.568391425152336,0.219348269060924,-0.105549930083418
19,US0378331005,2015,31/12/2014,31/12/2015,5.6754,0.0622173694267305,0.0622173694267305,0.29898210649593,-0.105549930083418
19,US0378331005,2016,31/12/2015,11/02/2016,-14.2922,-0.147503000692507,-0.750145059536867,0.393794914484069,-0.26905866020794
1,FR0000295230,Global,31/12/2010,11/02/2016,43.95,0.629025332760841,0.100043559536556,0.142097076835379,-0.177541729893778
1,FR0000295230,2011,31/12/2010,30/12/2011,1.38,0.0197509660798625,0.0197509660798625,0.153155009342975,-0.12808413105029
1,FR0000295230,2012,30/12/2011,31/12/2012,20.79,0.291789473684211,0.291789473684211,0.117918922593742,-0.06137140068326
1,FR0000295230,2013,31/12/2012,31/12/2013,13.64,0.14819643633203,0.14819643633203,0.110658269176445,-0.100733123869371
1,FR0000295230,2014,31/12/2013,31/12/2014,8.63,0.0816616199848599,0.0816616199848599,0.111298932297027,-0.0886132830053025
1,FR0000295230,2015,31/12/2014,31/12/2015,17.68,0.154667133234188,0.154667133234188,0.181468692264768,-0.0886132830053025
1,FR0000295230,2016,31/12/2015,11/02/2016,-18.17,-0.137661944086673,-0.723937573671092,0.263937034146393,-0.13700411879471
2,FR0010321802,Global,31/12/2010,11/02/2016,287.72,0.228657712787094,0.0410568721908304,0.151320675286896,-0.300432096053884
2,FR0010321802,2011,31/12/2010,30/12/2011,-224.35,-0.178296113804339,-0.178296113804339,0.21103264516374,-0.300432096053884
2,FR0010321802,2012,30/12/2011,31/12/2012,273.5,0.264519560907201,0.264519560907201,0.145323438319175,-0.108215147555178
2,FR0010321802,2013,31/12/2012,31/12/2013,284.9,0.217905082412329,0.217905082412329,0.102195348809112,-0.0688041428688547
2,FR0010321802,2014,31/12/2013,31/12/2014,57.3400000000001,0.0360096712406193,0.0360096712406193,0.102765007863335,-0.156037405292257
2,FR0010321802,2015,31/12/2014,31/12/2015,206.46,0.125150785905231,0.125150785905231,0.15084155970099,-0.156037405292257
2,FR0010321802,2016,31/12/2015,11/02/2016,-310.13,-0.167082401745549,-0.795829071897641,0.243569262778845,-0.146137388434931
3,LU0104884860,Global,31/12/2010,11/02/2016,67.77,0.443491918068189,0.0743578238112579,0.145595654215313,-0.182146348800481
3,LU0104884860,2011,31/12/2010,30/12/2011,-5.46000000000001,-0.0357306459001375,-0.0357306459001375,0.188246081644103,-0.181988138215575
3,LU0104884860,2012,30/12/2011,31/12/2012,19.84,0.134645402103834,0.134645402103834,0.113052241934551,-0.0872314967808102
3,LU0104884860,2013,31/12/2012,31/12/2013,28.67,0.17148154793947,0.17148154793947,0.113026107935606,-0.123180926824234
3,LU0104884860,2014,31/12/2013,31/12/2014,30.61,0.156285101603186,0.156285101603186,0.119035150813737,-0.0793875039876043
3,LU0104884860,2015,31/12/2014,31/12/2015,23.64,0.104384686713472,0.104384686713472,0.166214517594909,-0.0793875039876043
3,LU0104884860,2016,31/12/2015,11/02/2016,-29.53,-0.118068050057974,-0.664413231913926,0.219433553524659,-0.182146348800481
4,LU0320896664,Global,31/12/2010,11/02/2016,45.76,0.416378525932666,0.0703846171975808,0.164541978119261,-0.234266028064869
4,LU0320896664,2011,31/12/2010,30/12/2011,-3.18000000000001,-0.0289353958143768,-0.0289353958143768,0.251721654152045,-0.234266028064869
4,LU0320896664,2012,30/12/2011,31/12/2012,11.55,0.108227136431784,0.108227136431784,0.136401901647687,-0.116616865869854
4,LU0320896664,2013,31/12/2012,31/12/2013,45.59,0.385473915616809,0.385473915616809,0.113365514485277,-0.047315502398633
4,LU0320896664,2014,31/12/2013,31/12/2014,17.92,0.109361650189186,0.109361650189186,0.119050306433073,-0.0978012802671862
4,LU0320896664,2015,31/12/2014,31/12/2015,-0.189999999999998,-0.00104521949609415,-0.00104521949609415,0.152377042903111,-0.0978012802671862
4,LU0320896664,2016,31/12/2015,11/02/2016,-25.93,-0.142794206729446,-0.737893595547898,0.226596712369897,-0.130918783317654
5,LU0572952280,Global,31/12/2010,11/02/2016,14.76,0.589692369157012,0.0948025536912585,0.168200831694383,-0.223674383868559
5,LU0572952280,2011,31/12/2010,30/12/2011,-0.16,-0.00639232920495403,-0.00639232920495403,0.183553244627956,-0.223674383868559
